,station_name,street_address,city,access_days_time,evse_units,latitude,longitude
357,Shagbark Lumber and Farm Supply,1 Mt Parnassus Millington Rd,East Haddam,24 Hours,1,-72.442533,41.463278
358,Metro Green Residential Parking - Tesla Destination,717  Atlantic St,Stamford,24 Hours,3,-73.540098,41.04514
359,Hartford Road Henny Penny,969 Hartford Road,Waterford,Regular,2,-72.1591426,41.3874871
360,FOXWOODS,101 Trolley Line Blvd,Mashantucket,24 Hours,2,-71.9523342,41.469981700000005
361,Convention Center - Hartford,100 Columbus Blvd,Hartford,24 Hours,6,-72.668973,41.762852
362,County Line Buick-Nissan,2191 Straits Turnpike,Middlebury,Regular,1,-73.098764,41.568122
364,University of Connecticut - Waterbury,99 E Main St,Waterbury,24 Hours,2,-73.038135,41.555816
365,Danbury Parking Authority,21 Delay St,Danbury,Regular,2,-73.451059,41.396042
366,INFINITYGREEN,201 Commons Park S,Stamford,24 Hours,2,-73.5405387,41.040838
367,City of Hartford - City Hall,35 Arch St,Hartford,24 Hours,1,-72.672842,41.762206
368,White Hart Inn - Tesla Destination,15 Undermountain Rd,Salisbury,24 Hours,1,-73.42219800000001,41.98483
369,Premier Subaru,155 N Main St,Branford,24 Hours,2,-72.813257,41.287914
370,Central Connecticut State University - Student Center Parking Garage,165 Ella Grasso Blvd,New Britain,24 Hours,3,-72.7663278757019,41.6938875513217
371,University of Connecticut - South Parking Garage,505 Jim Calhoun Way,Storrs,Regular,2,-72.253601,41.805152
372,Carter Chevrolet,175 Hartford Turnpike,Vernon,Regular,2,-72.5009065449829,41.8218766595564
374,Bloomfield Human Services Center,330 Park Avenue,Bloomfield,Regular,2,-72.712466,41.8234945
376,University of Connecticut - North Parking Garage,103 N Eagleville Rd,Storrs,Regular,2,-72.258277,41.809176
378,Fairfield Woods Library,1147 Fairfield Woods Rd,Fairfield,24 Hours,1,-73.250024,41.187855
379,Yankee Doodle,10 Burnell Boulevard,Norwalk,24 Hours,1,-73.414932,41.11803
380,Lee Partyka Chevrolet Mazda Isuzu,200 Skiff St,Hamden,Regular,3,-72.9100121,41.3729709
381,777 MAIN ST,71 Asylum St,Hartford,24 Hours,10,-72.674468,41.766676
382,Norwich Public Utilities,173 N Main St,Norwich,24 Hours,4,-72.063516,41.52757900000001
384,Eastern Connecticut State University - Shakespeare Parking Garage,24 Charger Oak Dr,Willimantic,24 Hours,4,-72.208134,41.7385909
